web-scraper-order,web-scraper-start-url,page-link,page-link-href,Nombre_pieces,Nombre_salle,Supeficie,Adresse
"1716417319-1","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-almadies-4497844","Superficie305","","","Almadies, Dakar, Sénégal"
"1716417322-2","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 5 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-almadies-4494565","Nbre de pièces5","Nbre de salles de bain3","","Almadies, Dakar, Sénégal"
"1716417325-3","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 3 pièces - Dakar","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-dakar-4536155","Nbre de pièces3","Nbre de salles de bain2","Superficie150","Dakar, Sénégal"
"1716417327-4","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Cité Daoune","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-daoune-4536480","Nbre de pièces4","Nbre de salles de bain4","Superficie150 m2","Guediawaye, Dakar, Sénégal"
"1716417330-5","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 5 pièces - Sacré-Cœur","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-sacre-cur-4495180","Nbre de pièces5","Nbre de salles de bain6","Superficie206 m2","Ouest Foire, Dakar, Sénégal"
"1716417333-6","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-rufisque-4494868","Nbre de pièces4","Nbre de salles de bain1","","Rufisque, Sénégal"
"1716417336-7","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Almadies 2","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-2-4494877","Nbre de pièces5","Nbre de salles de bain2","Superficie160","Almadies 2, Dakar, Sénégal"
"1716417338-8","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 12 pièces - Thies","https://sn.coinafrique.com/annonce/villas/location-villa-12-pieces-thies-4536736","","","","Thies, Sénégal"
"1716417341-9","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Ngor Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-ngor-almadies-4537498","Nbre de pièces7","Nbre de salles de bain5","Superficie500 m2","Dakar, Sénégal"
"1716417344-10","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Ndangane","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-ndangane-4537648","Nbre de pièces5","Nbre de salles de bain1","Superficie80","Fatick, Sénégal"
"1716417347-11","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 8 pièces - cité Mourtada VDN","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-cite-mourtada-vdn-4496376","Nbre de pièces8","Nbre de salles de bain4","Superficie160","Sipres, Dakar, Sénégal"
"1716417350-12","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 7 pièces - Sipres","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-sipres-4496103","Nbre de pièces7","Nbre de salles de bain2","Superficie168","Sipres, Dakar, Sénégal"
"1716417353-13","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-4496218","Nbre de pièces5","Nbre de salles de bain4","Superficie300","Almadies, Dakar, Sénégal"
