web-scraper-order,web-scraper-start-url,pages-link,pages-link-href,superficie,prix,adresse,Image_lien-src
"1716425808-163","https://sn.coinafrique.com/categorie/terrains?page=9","Terrain 200 m2 - Almadies Boa","https://sn.coinafrique.com/annonce/terrains/terrain-200-m2-almadies-boa-4571483","Superficie200","85 000 000 CFA","Almadies, Dakar, Sénégal",""
"1716425811-479","https://sn.coinafrique.com/categorie/terrains?page=8","Terrains 150m²  - Mbao","https://sn.coinafrique.com/annonce/terrains/terrains-150m-mbao-4628432","Superficie150","30 000 000 CFA","Mbao, Dakar, Sénégal",""
"1716425813-1","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4748951_uploaded_image1_1715957715.jpg"
"1716425813-2","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4740978_uploaded_image1_1715600901.jpg"
"1716425813-3","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4698644_uploaded_image1_1713444604.jpg"
"1716425813-4","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4708254_uploaded_image1_1713951783.jpg"
"1716425813-5","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4696985_uploaded_image1_1713363090.jpg"
"1716425813-6","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4698266_uploaded_image1_1713432283.jpg"
"1716425813-7","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4584735_uploaded_image1_1707401403.jpg"
"1716425813-8","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4584641_uploaded_image1_1707398490.jpg"
"1716425813-9","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4560949_uploaded_image1_1706109826.jpg"
"1716425813-10","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4551810_uploaded_image1_1705585230.jpg"
"1716425813-11","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4344069_uploaded_image1_1692617164.jpg"
"1716425813-12","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 225m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/terrain-225m-ndiass-4584735","Superficie225","1 500 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4227298_uploaded_image1_1684855394.jpg"
"1716425813-118","https://sn.coinafrique.com/categorie/terrains?page=9","Terrain 400m² - Mbour Plage","https://sn.coinafrique.com/annonce/terrains/terrain-400m-mbour-plage-4610101","Superficie400","15 500 000 CFA","Mbour, Sénégal",""
"1716425814-754","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4608535_uploaded_image1_1708700353.jpg"
"1716425814-755","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_3595430_uploaded_image1_1646507326.jpg"
"1716425814-756","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_2154076_uploaded_image1_1590104404.jpg"
"1716425814-757","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_1317307_uploaded_image1_1575917132.45.png"
"1716425814-758","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_1771736_uploaded_image1_1583838457.06.png"
"1716425814-759","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_2514558_uploaded_image1_1596622339.jpg"
"1716425814-760","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_2222303_uploaded_image1_1591205403.jpg"
"1716425814-761","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_2164101_uploaded_image1_1590285460.jpg"
"1716425814-762","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_2105702_uploaded_image1_1589371754.jpg"
"1716425814-763","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_1151464_uploaded_image1_1572864055.26.png"
"1716425814-764","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 300 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m2-almadies-2-4608535","Superficie300","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_1131687_uploaded_image1_1572438905.22.png"
"1716425815-226","https://sn.coinafrique.com/categorie/terrains?page=8","Terrains - Touba","https://sn.coinafrique.com/annonce/terrains/terrains-touba-4627504","Superficie2000 m2","3 500 000 CFA","Touba, Sénégal",""
"1716425818-164","https://sn.coinafrique.com/categorie/terrains?page=9","Vente terrains 150m2 - Bambilor","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150m2-bambilor-4571548","Superficie150","4 000 000 CFA","Rufisque, Sénégal",""
"1716425819-480","https://sn.coinafrique.com/categorie/terrains?page=8","Terrains 150m²  - Thies Ndayane","https://sn.coinafrique.com/annonce/terrains/terrains-150m-thies-ndayane-4628471","Superficie150","5 000 000 CFA","Thies, Sénégal",""
"1716425822-13","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 317m² - Yoff","https://sn.coinafrique.com/annonce/terrains/terrain-317m-yoff-4536909","Superficie317","140 000 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4543526_uploaded_image1_1705154649.jpg"
"1716425822-14","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 317m² - Yoff","https://sn.coinafrique.com/annonce/terrains/terrain-317m-yoff-4536909","Superficie317","140 000 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4536909_uploaded_image1_1704843072.jpg"
"1716425823-765","https://sn.coinafrique.com/categorie/terrains?page=9","Terrain 200 m2 - Hann Mariste","https://sn.coinafrique.com/annonce/terrains/terrain-200-m2-hann-mariste-4562802","Superficie200","100 000 000 CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4562802_uploaded_image1_1706200031.jpg"
"1716425825-165","https://sn.coinafrique.com/categorie/terrains?page=9","Terrain 150m2 - Mbao Baobab 2","https://sn.coinafrique.com/annonce/terrains/terrain-150m2-mbao-baobab-2-4571545","Superficie150","30 000 000 CFA","Mbao, Dakar, Sénégal",""
"1716425826-119","https://sn.coinafrique.com/categorie/terrains?page=9","Terrain 300m² - Mbour","https://sn.coinafrique.com/annonce/terrains/terrain-300m-mbour-4611331","","2 500 000 CFA","Mbour, Sénégal",""
"1716425826-227","https://sn.coinafrique.com/categorie/terrains?page=8","Terrains 150m²  - Mbao","https://sn.coinafrique.com/annonce/terrains/terrains-150m-mbao-4628432","Superficie150","30 000 000 CFA","Mbao, Dakar, Sénégal",""
"1716425828-481","https://sn.coinafrique.com/categorie/terrains?page=8","Terrains 500m²  - Ngor","https://sn.coinafrique.com/annonce/terrains/terrains-500m-ngor-4628855","Superficie500","750 000 CFA","Ngor, Dakar, Sénégal",""
"1716425831-15","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 150m²  - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrain-150m-diamniadio-4584858","Superficie150","13 500 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_4742777_uploaded_image1_1715687768.jpg"
"1716425831-16","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 150m²  - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrain-150m-diamniadio-4584858","Superficie150","13 500 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_4738513_uploaded_image1_1715452714.jpg"
"1716425831-17","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 150m²  - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrain-150m-diamniadio-4584858","Superficie150","13 500 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_4735223_uploaded_image1_1715281162.jpg"
"1716425831-18","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 150m²  - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrain-150m-diamniadio-4584858","Superficie150","13 500 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_4733335_uploaded_image1_1715193125.jpg"
"1716425831-19","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 150m²  - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrain-150m-diamniadio-4584858","Superficie150","13 500 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_4692642_uploaded_image1_1713176964.jpg"
"1716425831-20","https://sn.coinafrique.com/categorie/terrains?page=10","Terrain 150m²  - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrain-150m-diamniadio-4584858","Superficie150","13 500 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_4636738_uploaded_image1_1710172623.jpg"
