web-scraper-order,web-scraper-start-url,page-link,page-link-href,Nombre_pieces,Nombre_sallebain,Superficie,Adresse
"1716421013-1","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement 3 pièces - HLM  Rufisque","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-hlm-rufisque-4653140","Nbre de pièces3","Nbre de salles de bain3","Superficie150","Rufisque, Sénégal"
"1716421016-2","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement 5 pièces - Sacré-coeur 3","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-sacre-coeur-3-4608537","Nbre de pièces5","Nbre de salles de bain4","Superficie280","Sacré-Coeur, Dakar, Sénégal"
"1716421018-3","https://sn.coinafrique.com/categorie/appartements?page=10","Vente appartement 5 pièces - Sacré-coeur 3","https://sn.coinafrique.com/annonce/appartements/vente-appartement-5-pieces-sacre-coeur-3-4608546","Nbre de pièces5","Nbre de salles de bain4","Superficie280","Sacré-Coeur, Dakar, Sénégal"
"1716421020-4","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement 04 pièces - Cité Keur Gorgui","https://sn.coinafrique.com/annonce/appartements/location-appartement-04-pieces-cite-keur-gorgui-4653557","Nbre de pièces4","Nbre de salles de bain3","Superficie150 m2","Sacré-Coeur, Dakar, Sénégal"
"1716421023-5","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement 04 pièces - Mermoz-Sacré coeur","https://sn.coinafrique.com/annonce/appartements/location-appartement-04-pieces-mermoz-sacre-coeur-4653654","Nbre de pièces4","Nbre de salles de bain2","Superficie1","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1716421026-6","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement 4 pièces - Sipres","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sipres-4605389","Nbre de pièces4","Nbre de salles de bain3","Superficie150","Sipres, Dakar, Sénégal"
"1716421028-7","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement 4 pièces   - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4654164","Nbre de pièces4","Nbre de salles de bain4","Superficie200 m2","Almadies, Dakar, Sénégal"
"1716421031-8","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement 3 pièces - Ouakam","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ouakam-4654205","Nbre de pièces3","Nbre de salles de bain3","Superficie150","Ouakam, Dakar, Sénégal"
"1716421033-9","https://sn.coinafrique.com/categorie/appartements?page=10","Vente appartements  - Hmaya","https://sn.coinafrique.com/annonce/appartements/vente-appartements-hmaya-4654367","Nbre de pièces3","Nbre de salles de bain2","Superficie126 m2","Mamelles, Dakar, Sénégal"
"1716421036-10","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement 3 pièces - Nord foire","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-nord-foire-4612356","Nbre de pièces3","Nbre de salles de bain2","Superficie120 m2","Dakar, Sénégal"
"1716421038-11","https://sn.coinafrique.com/categorie/appartements?page=10","Location studio - Citée gadaye","https://sn.coinafrique.com/annonce/appartements/location-studio-citee-gadaye-4612371","Nbre de pièces2","Nbre de salles de bain2","Superficie100 m2","Dakar, Sénégal"
"1716421041-12","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartements 4 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4654632","Nbre de pièces4","Nbre de salles de bain4","Superficie250","Almadies, Dakar, Sénégal"
"1716421044-13","https://sn.coinafrique.com/categorie/appartements?page=10","Location studio 2 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-almadies-4606266","Nbre de pièces2","","","Almadies, Dakar, Sénégal"
